,,【佰仕康】 晕车贴 （4贴/盒）-上海佰仕康实业有限公,818医药网 > 医疗器械 > 家庭护理 > 家庭药箱 > 【佰仕康】 晕车贴 （4贴/盒）,818医药网,其他
,,【乐行人】 晕车贴眩晕、恶心、呕吐，晕车晕船晕机 （4贴）-资阳瑞正,818医药网 > 医疗器械 > 日常用品 > 常用物品 > 【乐行人】 晕车贴眩晕、恶心、呕吐，晕车晕船晕机 （4贴）,818医药网,其他
,, 茶苯海明片,中西成药 > 神经系统 > 眩晕晕车 > 茶苯海明片,111医药馆,
1013002007,个护化妆|身体护理|香薰精油,【百益】复方氢溴酸东莨菪碱贴膏(2片装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【百益】复方氢溴酸东莨菪碱贴膏(2片装),12药网,
1016007004,食品饮料、保健食品|营养健康|骨骼健康,【飞赛乐】盐酸苯环壬酯片(2片装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】盐酸苯环壬酯片(2片装),12药网,
1016007004,食品饮料、保健食品|营养健康|骨骼健康,【飞赛乐】盐酸苯环壬酯片(6片装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】盐酸苯环壬酯片(6片装),12药网,
1013002008,个护化妆|身体护理|纤体瘦身,【天和】复方氢溴酸东莨菪碱贴膏(2袋装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【天和】复方氢溴酸东莨菪碱贴膏(2袋装),12药网,
1002006001,玩具|健身玩具|炫舞毯,【碚陵】消眩止晕片(30片装) rx RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【碚陵】消眩止晕片(30片装),12药网,
1002006001,玩具|健身玩具|炫舞毯,【三金】眩晕宁片(24片装) otc RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【三金】眩晕宁片(24片装),12药网,
1002009001,玩具|积木拼插|积木,【三金】眩晕宁颗粒(9袋装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【三金】眩晕宁颗粒(9袋装),12药网,
1005004020,健康运动、户外|体育娱乐、健身|跆拳道、武术、搏击,【太极】清眩片(50片装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【太极】清眩片(50片装),12药网,
1005007002,健康运动、户外|急救卫生|烫伤止痒,葛仙堂晕车贴, 八百方网上药店> 医疗器械> 贴膏剂类> 晕车贴> 葛仙堂晕车贴,八百方网上药店,
1016007001,食品饮料、保健食品|营养健康|基础营养,【龙都】晕痛定胶囊(27粒装) rx,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【龙都】晕痛定胶囊(27粒装),12药网,
1005007002,健康运动、户外|急救卫生|烫伤止痒,乐行晕车贴, 八百方网上药店> 医疗器械> 贴膏剂类> 晕车贴> 乐行晕车贴,八百方网上药店,
1005007002,健康运动、户外|急救卫生|烫伤止痒,【龙虎牌】 清凉油 (10克装)-上海中华制药 用于感冒头痛 中暑 晕车 蚊虫叮咬, 八百方网上药店> 中西成药> 皮肤外用> 蚊虫叮咬> 【龙虎牌】 清凉油 (10克装)-上海中华制药 用于感冒头痛 中暑 晕车 蚊虫叮咬,八百方网上药店,
1001006004,彩票、旅行、充值、票务|票务|歌剧、音乐剧,【晕动】苯巴比妥东莨菪碱片(12片装) otc,十二药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【晕动】苯巴比妥东莨菪碱片(12片装),12药网,
,,天眩清 天麻素片 25mg*24片,所有分类>中西药品、医疗器械>中西药品>神经系统>眩晕/晕车>天眩清,1号店,眩晕/晕车
,,[预订]【飞赛乐】 盐酸苯环壬酯片 （2片装）-北京华素制药,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】 盐酸苯环壬酯片 （2片装）,818医药网,飞赛乐
,,【广州雨纯】 醒目晕车贴 (2贴)-广州雨纯,818医药网 > 医疗器械 > 家庭护理 > 家庭药箱 > 【广州雨纯】 醒目晕车贴 (2贴),818医药网,醒目
,,[预订]【飞赛乐】 盐酸苯环壬酯片 （6片装）-北京华素制药,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】 盐酸苯环壬酯片 （6片装）,818医药网,飞赛乐
,,[预订]【龙都】 晕痛定胶囊 （27粒装）-河南龙都药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【龙都】 晕痛定胶囊 （27粒装）,818医药网,
,,康庄 晕车 清凉贴,首页 >健康电器 >按摩器材 >其他类型 >康庄 >康庄 晕车 清凉贴,易迅网,
,,用于内耳眩晕症,头晕,目眩症。,首页>药品>神经系统>眩晕晕车,开心人,
,,用于头晕目眩,偏正头痛。,首页>药品>神经系统>眩晕晕车,开心人,
,,飞赛乐,眩晕晕车,111医药馆,
,,茶苯海明片,眩晕晕车,111医药馆,
,,【太极】 晕车贴 （4贴）-济源太极医疗用品,818医药网 > 医疗器械 > 家庭护理 > 家庭药箱 > 【太极】 晕车贴 （4贴）,818医药网,其他
,,【元和】抑眩宁胶囊（36粒装） rx,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【元和】抑眩宁胶囊（36粒装）,12药网,
,,【敏使朗】甲磺酸倍他司汀片（30片装） rx,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【敏使朗】甲磺酸倍他司汀片（30片装）,12药网,
,,【神通】仙芪眩宁颗粒(6袋装) rx,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【神通】仙芪眩宁颗粒(6袋装),12药网,
,,【三精】逐淤通脉胶囊（18粒装） rx,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【三精】逐淤通脉胶囊（18粒装）,12药网,
,,【龙都】晕痛定胶囊(27粒装) rx,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【龙都】晕痛定胶囊(27粒装),12药网,
,,澳樱晕车贴 晕车晕船晕机贴耳后方便使用2cm*4贴*2盒,母婴>洗护用品>护理用品>澳樱晕车贴 晕车晕船晕机贴耳后方便使用2...,京东商城,京东好药师
,,【晕动】苯巴比妥东莨菪碱片(12片装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【晕动】苯巴比妥东莨菪碱片(12片装),12药网,
,,【乘车晕宁片】茶苯海明片（25毫克12片装） otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【乘车晕宁片】茶苯海明片（25毫克12片装）,12药网,
,,【飞赛乐】 盐酸苯环壬酯片 （6片装）-北京华素制药,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】 盐酸苯环壬酯片 （6片装）,818医药网,飞赛乐
,,【仁和堂】 盐酸地芬尼多片 （120片装） otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【仁和堂】 盐酸地芬尼多片 （120片装）,12药网,
,,【飞赛乐】 盐酸苯环壬酯片 （6片装） otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】 盐酸苯环壬酯片 （6片装）,12药网,
,,途爽晕车贴1贴*3袋,运动健康>保健器械>家庭护理>神鹿>途爽晕车贴1贴*3袋,京东商城,嘉尚健康旗舰店
1010001008,礼品|礼品|鲜花绿植,[预订]【立速】 晕车贴（晕车 船 机） （2贴）-广州雨纯,818医药网 > 医疗器械 > 家庭护理 > 家庭药箱 > 【立速】 晕车贴（晕车 船 机） （2贴）,818医药网,其他
1010001008,礼品|礼品|鲜花绿植,[预订]【雨纯】 澳樱晕车贴 （4贴）-广州雨纯,818医药网 > 医疗器械 > 家庭护理 > 家庭药箱 > 【雨纯】 澳樱晕车贴 （4贴）,818医药网,其他
1015006006,母婴童|童车童床|学步车,【乘车晕宁片】 茶苯海明片 （50毫克 12片装） otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【乘车晕宁片】 茶苯海明片 （50毫克 12片装）,12药网,
1013002007,个护化妆|身体护理|香薰精油,【天和】 复方氢溴酸东莨菪碱贴膏 （2贴装） otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【天和】 复方氢溴酸东莨菪碱贴膏 （2贴装）,12药网,
1016007004,食品饮料、保健食品|营养健康|骨骼健康,【飞赛乐】盐酸苯环壬酯片(2片装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】盐酸苯环壬酯片(2片装),12药网,
1013002007,个护化妆|身体护理|香薰精油,【天和】复方氢溴酸东莨菪碱贴膏(2贴装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【天和】复方氢溴酸东莨菪碱贴膏(2贴装),12药网,
1005007002,健康运动、户外|急救卫生|烫伤止痒,百脉 晕车贴 晕船 晕机 清凉贴2贴 亲水性高分子凝胶 春节防晕车,营养/保健/成人 > 康复护理 > 家庭护理 > 百脉 晕车贴 晕船 晕机 清凉贴2贴 亲水性高分子凝胶 春节防晕车,当当网,百脉
1001006004,彩票、旅行、充值、票务|票务|歌剧、音乐剧,【京益】茶苯海明片(20片装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【京益】茶苯海明片(20片装),12药网,
1015006006,母婴童|童车童床|学步车,【乘车晕宁片】茶苯海明片(20片装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【乘车晕宁片】茶苯海明片(20片装),12药网,
1007006006,厨具|餐具|一次性餐具,【永龙】保济油(25毫升装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【永龙】保济油(25毫升装),12药网,
1013002007,个护化妆|身体护理|香薰精油,晕车贴(洋金花精油贴), 八百方网上药店> 医疗器械> 贴膏剂类> 晕车贴> 晕车贴(洋金花精油贴),八百方网上药店,
1013002007,个护化妆|身体护理|香薰精油,【百益】复方氢溴酸东莨菪碱贴膏(4片装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【百益】复方氢溴酸东莨菪碱贴膏(4片装),12药网,
,,利华 脑心舒口服液 10ml*10支,所有分类>中西药品、医疗器械>中西药品>神经系统>眩晕/晕车>利华,1号店,眩晕/晕车
,,[预订]【晕动】 苯巴比妥东莨菪碱片 （12片装）-广州白云山光华,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【晕动】 苯巴比妥东莨菪碱片 （12片装）,818医药网,白云山
,,【老方】 平眩胶囊 （20粒装）-云南佑生药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【老方】 平眩胶囊 （20粒装）,818医药网,
,,【飞赛乐】 盐酸苯环壬酯片 （2片装）-北京华素制药,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】 盐酸苯环壬酯片 （2片装）,818医药网,飞赛乐
,,【乐行人】 晕车贴 （2贴）-济源太极医疗用品,818医药网 > 【乐行人】 晕车贴 （2贴）,818医药网,其他
1016001007,食品饮料、保健食品|地方特产|华中地区,[预订]【湘江】 盐酸地芬尼多片 （30片装）-湖南千金湘江药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【湘江】 盐酸地芬尼多片 （30片装）,818医药网,
,,【广州雨纯】 醒目晕车贴 (4贴)-广州雨纯,818医药网 > 医疗器械 > 家庭护理 > 家庭药箱 > 【广州雨纯】 醒目晕车贴 (4贴),818医药网,
,,【敏使朗】 甲磺酸倍他司汀片 （30片装）-中国卫材药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【敏使朗】 甲磺酸倍他司汀片 （30片装）,818医药网,敏使朗
,,[预订]【永龙】 保济油 （25毫升装）-福州万源药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【永龙】 保济油 （25毫升装）,818医药网,永龙
,,【飞赛乐】盐酸苯环壬酯片(6片)-北京华素制药,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】盐酸苯环壬酯片(6片),818医药网,飞赛乐
,,【百益】 复方氢溴酸东莨菪碱贴膏 （2片装）-南通百益制药,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【百益】 复方氢溴酸东莨菪碱贴膏 （2片装）,818医药网,百益
,,【怡含宁】 茶苯海明含片 （4片装）-北京益民药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【怡含宁】 茶苯海明含片 （4片装）,818医药网,贻唅柠
1016001007,食品饮料、保健食品|地方特产|华中地区,【湘江】 盐酸地芬尼多片 （30片装）-湖南千金湘江药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【湘江】 盐酸地芬尼多片 （30片装）,818医药网,
,,【敏使朗】 甲磺酸倍他司汀片 （30片装）-中国卫材药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【敏使朗】 甲磺酸倍他司汀片 （30片装）,818医药网,敏使朗
,,[预订]【江西绿源堂】 途爽晕车贴 (2贴)-江西绿源堂药业,818医药网 > 医疗器械 > 家庭护理 > 家庭药箱 > 【江西绿源堂】 途爽晕车贴 (2贴),818医药网,
,,【仁和堂】 盐酸地芬尼多片 （120片装）-山东仁和堂药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【仁和堂】 盐酸地芬尼多片 （120片装）,818医药网,
,,【广州雨纯】 醒目晕车贴 (2贴)-广州雨纯,818医药网 > 医疗器械 > 家庭护理 > 家庭药箱 > 【广州雨纯】 醒目晕车贴 (2贴),818医药网,
,,【敏使朗】 甲磺酸倍他司汀片 （30片装）-中国卫材药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【敏使朗】 甲磺酸倍他司汀片 （30片装）,818医药网,敏使朗
,,用于预防晕车、晕船及晕机,首页>药品>神经系统>眩晕晕车,开心人,
,,盐酸地芬尼多片,眩晕晕车,111医药馆,千金药业
,,【绿源堂】 途爽晕车贴-江西绿源堂药业,818医药网 > 医疗器械 > 家庭护理 > 自助检测 > 【绿源堂】 途爽晕车贴,818医药网,途爽
,,【天和】复方氢溴酸东莨菪碱贴膏（2贴装） otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【天和】复方氢溴酸东莨菪碱贴膏（2贴装）,12药网,
,,【飞赛乐】盐酸苯环壬酯片（2mg*2片） otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】盐酸苯环壬酯片（2mg*2片）,12药网,飞赛乐
,,【乘车晕宁片】茶苯海明片（50毫克12片装） otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【乘车晕宁片】茶苯海明片（50毫克12片装）,12药网,
,,【宁星】晕可平冲剂（6袋装） rx,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【宁星】晕可平冲剂（6袋装）,12药网,
,,【三精】逐淤通脉胶囊（18粒装） rx,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【三精】逐淤通脉胶囊（18粒装）,12药网,
,, 飞赛乐;盐酸苯环壬酯片,万药网 > 药品 > 神经系统 > 眩晕晕车,万泽大药房,华素制药
,,途爽晕车贴 1贴*3袋 晕车 晕船 晕机所致的眩晕 恶心 呕吐,成人用品 > 其他 > 其他 > 途爽晕车贴 1贴*3袋 晕车 晕船 晕机所致的眩晕 恶心 呕吐,111医药馆,
,,【元和】 抑眩宁胶囊 （36粒装）-通化正和药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【元和】 抑眩宁胶囊 （36粒装）,818医药网,
,,【碚陵】 消眩止晕片 （30片装） rx,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【碚陵】 消眩止晕片 （30片装）,12药网,
,,百脉 晕车贴 2贴,所有分类>保健滋补、器械计生>医疗器械>医疗器械>保健理疗>百脉>百脉 晕车贴 2贴,1号店,百脉
,,[预订]【济源太极】 晕车贴 (4贴)-济源市太极医疗用品,818医药网 > 医疗器械 > 家庭护理 > 家庭药箱 > 【济源太极】 晕车贴 (4贴),818医药网,其他
1020001004,宠物|宠物生活|宠物营养品, 乘晕宁 茶苯海明片 25mg*20片 用于防治晕动病，如晕车、晕船、晕机所致的恶心、呕吐,中西成药 > 神经系统 > 眩晕晕车 > 乘晕宁 茶苯海明片 25mg*20片 用于防治晕动病，如晕车、晕船、晕机所致的恶心、呕吐,111医药馆,
1016007004,食品饮料、保健食品|营养健康|骨骼健康,【飞赛乐】盐酸苯环壬酯片(2片装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】盐酸苯环壬酯片(2片装),12药网,
1001006004,彩票、旅行、充值、票务|票务|歌剧、音乐剧,苯巴比妥东莨菪碱片晕动片,首页>药品>神经系统>眩晕晕车>苯巴比妥东莨菪碱片晕动片,开心人,
1002006001,玩具|健身玩具|炫舞毯,【飞赛乐】盐酸苯环壬酯片(2片装) otc RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJX,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】盐酸苯环壬酯片(2片装),12药网,
1002006001,玩具|健身玩具|炫舞毯,【湘江】盐酸地芬尼多片(30片装) otc RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJXZ下载 RJX,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【湘江】盐酸地芬尼多片(30片装),12药网,
1005007002,健康运动、户外|急救卫生|烫伤止痒,晕车贴, 八百方网上药店> 医疗器械> 贴膏剂类> 晕车贴> 晕车贴,八百方网上药店,
1005007002,健康运动、户外|急救卫生|烫伤止痒,【U吸】晕车吸 3s 防晕车止吐, 八百方网上药店> 医疗器械> 贴膏剂类> 晕车贴> 【U吸】晕车吸 3s 防晕车止吐,八百方网上药店,
1005007002,健康运动、户外|急救卫生|烫伤止痒,晕车贴, 八百方网上药店> 医疗器械> 其它器械> 五官外用> 晕车贴,八百方网上药店,
,,晕车清凉贴(2贴)-广州百脉药业,818医药网 > 医疗器械 > 日常用品 > 常用物品 > 晕车清凉贴(2贴),818医药网,
,,【飞赛乐】 盐酸苯环壬酯片 （6片装）-北京华素制药,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】 盐酸苯环壬酯片 （6片装）,818医药网,飞赛乐
,,【敏使朗】 甲磺酸倍他司汀片 （30片装）-中国卫材药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【敏使朗】 甲磺酸倍他司汀片 （30片装）,818医药网,敏使朗
,,[预订]【飞赛乐】 盐酸苯环壬酯片 （2片装）-北京华素制药,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】 盐酸苯环壬酯片 （2片装）,818医药网,飞赛乐
,,【永龙】 保济油 （25毫升装）-福州万源药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【永龙】 保济油 （25毫升装）,818医药网,永龙
,,【晕动】 苯巴比妥东莨菪碱片 （12片装）-广州白云山光华,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【晕动】 苯巴比妥东莨菪碱片 （12片装）,818医药网,白云山
,,【舒迪】晕车贴-四川乐至贵均,818医药网 > 医疗器械 > 家庭护理 > 家庭药箱 > 【舒迪】晕车贴,818医药网,
,,【三金】 眩晕宁片 （24片装）-桂林三金,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【三金】 眩晕宁片 （24片装）,818医药网,三金牌
,,【仁和堂】 盐酸地芬尼多片 （120片装）-山东仁和堂药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【仁和堂】 盐酸地芬尼多片 （120片装）,818医药网,仁和堂
,,【晕动】 苯巴比妥东莨菪碱片 （12片装）-广州白云山光华,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【晕动】 苯巴比妥东莨菪碱片 （12片装）,818医药网,白云山
,,【飞赛乐】 盐酸苯环壬酯片 （6片装）-北京华素制药,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】 盐酸苯环壬酯片 （6片装）,818医药网,飞赛乐
,,清眩丸,眩晕晕车,111医药馆,北京同仁堂
,,澳樱晕车贴,百洋健康网 > 健康生活 > 保健养生 > 晕车贴 > 澳樱,百洋健康网,澳樱
,,晕车贴,首页 > 商品列表 > 医疗器械 > 保健理疗 > 晕车晕船 > 晕车贴,九洲网上药店,快优乐
,,POLOPA 晕车贴 适用于缓解乘车，乘船，乘机时的不适 4片/盒 旅游必备！防过敏贴,所有分类>运动户外>户外装备>户外休闲家具>其他户外休闲家具>POLOPA>POLOPA 晕车贴...,1号店,POLOPA
